Gender,Height,Weight,Height in cm,Weight in Kg,BMI
Male,73.84701702,241.8935632,187.57,108.85,30.94
Male,68.78190405,162.3104725,174.71,73.04,23.93
Male,74.11010539,212.7408556,188.24,95.73,27.02
Male,71.7309784,220.0424703,182.20,99.02,29.83
Male,69.88179586,206.3498006,177.50,92.86,29.47
Male,67.25301569,152.2121558,170.82,68.50,23.47
Male,68.78508125,183.9278886,174.71,82.77,27.11
Male,68.34851551,167.9711105,173.61,75.59,25.08
Male,67.01894966,175.9294404,170.23,79.17,27.32
Male,63.45649398,156.3996764,161.18,70.38,27.09
Male,71.19538228,186.6049256,180.84,83.97,25.68
Male,71.64080512,213.7411695,181.97,96.18,29.05
Male,64.76632913,167.1274611,164.51,75.21,27.79
Male,69.2830701,189.4461814,175.98,85.25,27.53
Male,69.24373223,186.434168,175.88,83.90,27.12
Male,67.6456197,172.1869301,171.82,77.48,26.25
Male,72.41831663,196.0285063,183.94,88.21,26.07
Male,63.97432572,172.8834702,162.49,77.80,29.46
Male,69.6400599,185.9839576,176.89,83.69,26.75
Male,67.93600485,182.426648,172.56,82.09,27.57
Male,67.91505019,174.1159291,172.50,78.35,26.33
Male,69.43943987,197.7314216,176.38,88.98,28.60
Male,66.14913196,149.173566,168.02,67.13,23.78
Male,75.20597361,228.7617806,191.02,102.94,28.21
Male,67.89319634,162.0066518,172.45,72.90,24.51
Male,68.1440328,192.3439766,173.09,86.55,28.89
Male,69.08963143,184.4351744,175.49,83.00,26.95
Male,72.80084352,206.8281894,184.91,93.07,27.22
Male,67.42124228,175.2139224,171.25,78.85,26.89
Male,68.49641536,154.3426389,173.98,69.45,22.95
Male,68.61811055,187.5068432,174.29,84.38,27.78
Male,74.03380762,212.9102253,188.05,95.81,27.09
Male,71.52821604,195.0322432,181.68,87.76,26.59
Male,69.1801611,205.1836213,175.72,92.33,29.90
Male,69.57720237,204.1641255,176.73,91.87,29.42
Male,70.40092889,192.9035151,178.82,86.81,27.15
Male,69.07617117,197.4882426,175.45,88.87,28.87
Male,67.19352328,183.8109732,170.67,82.71,28.40
Male,65.80731565,163.8518249,167.15,73.73,26.39
Male,64.30418789,163.1080171,163.33,73.40,27.51
Male,67.97433623,172.1355974,172.65,77.46,25.99
Male,72.18942596,194.0454049,183.36,87.32,25.97
Male,65.27034552,168.6177462,165.79,75.88,27.61
Male,66.09017738,161.1934326,167.87,72.54,25.74
Male,67.51032152,164.6602773,171.48,74.10,25.20
Male,70.10478626,188.9223032,178.07,85.02,26.81
Male,68.25183644,187.0605522,173.36,84.18,28.01
Male,72.17270912,209.0708634,183.32,94.08,28.00
Male,69.17985762,192.0143354,175.72,86.41,27.98
Male,72.87036015,211.3424968,185.09,95.10,27.76
Male,64.78258298,165.6116262,164.55,74.53,27.52
Male,70.18354989,201.0719181,178.27,90.48,28.47
Male,68.49145025,173.4239603,173.97,78.04,25.79
Male,67.33083088,181.4076793,171.02,81.63,27.91
Male,66.99094408,169.7377074,170.16,76.38,26.38
Male,66.4995499,163.3095283,168.91,73.49,25.76
Male,68.35305665,189.7102099,173.62,85.37,28.32
Male,70.77445907,192.1248473,179.77,86.46,26.75
Male,71.21592367,198.1984641,180.89,89.19,27.26
Male,70.01336535,209.5264998,177.83,94.29,29.81
Male,71.40318222,198.7597927,181.36,89.44,27.19
Male,69.55200509,198.0795237,176.66,89.14,28.56
Male,73.81853456,195.2906122,187.50,87.88,25.00
Male,66.99688275,164.943303,170.17,74.22,25.63
Male,71.41846589,179.8639023,181.40,80.94,24.60
Male,65.27930021,155.2504207,165.81,69.86,25.41
Male,68.27419147,184.5193912,173.42,83.03,27.61
Male,72.76536995,220.6780415,184.82,99.31,29.07
Male,68.0993798,183.3126553,172.97,82.49,27.57
Male,68.89670607,196.4513123,175.00,88.40,28.87
Male,69.28950996,184.5956083,176.00,83.07,26.82
Male,70.52322452,207.5328385,179.13,93.39,29.10
Male,69.66372523,177.2009288,176.95,79.74,25.47
Male,67.59526881,163.1080022,171.69,73.40,24.90
Male,72.50812038,216.2182301,184.17,97.30,28.69
Male,71.2529856,204.6554938,180.98,92.09,28.12
Male,71.80918689,200.9205712,182.40,90.41,27.18
Male,72.24516548,220.9017699,183.50,99.41,29.52
Male,66.51262766,196.4498603,168.94,88.40,30.97
Male,66.029034,168.64081,167.71,75.89,26.98
Male,67.57715394,181.432713,171.65,81.64,27.71
Male,68.2465686,198.6586733,173.35,89.40,29.75
Male,73.826127,237.9167359,187.52,107.06,30.45
Male,69.80246436,173.0412559,177.30,77.87,24.77
Male,65.95957778,160.6839166,167.54,72.31,25.76
Male,71.07901758,188.6029191,180.54,84.87,26.04
Male,66.59619654,208.345694,169.15,93.76,32.77
Male,68.95153509,193.4351185,175.14,87.05,28.38
Male,68.24446179,174.1096938,173.34,78.35,26.08
Male,72.31682512,197.3685892,183.68,88.82,26.32
Male,71.81542045,201.6206667,182.41,90.73,27.27
Male,65.23704952,181.0119732,165.70,81.46,29.67
Male,70.64053009,182.122486,179.43,81.96,25.46
Male,64.7319256,177.5492634,164.42,79.90,29.55
Male,67.10355118,164.9745807,170.44,74.24,25.55
Male,65.11748489,165.7171122,165.40,74.57,27.26
Male,71.70123402,193.0941635,182.12,86.89,26.20
Male,66.83287821,180.683887,169.76,81.31,28.22
Male,66.47127526,172.7737229,168.84,77.75,27.27
Male,69.41152622,177.4706162,176.31,79.86,25.69
Male,70.05217747,200.8187373,177.93,90.37,28.54
Male,66.74360465,167.7397753,169.53,75.48,26.26
Male,66.27432912,154.3956248,168.34,69.48,24.52
Male,68.32844799,177.9847286,173.55,80.09,26.59
Male,70.0758882,183.938857,177.99,82.77,26.13
Male,68.73298815,179.2047821,174.58,80.64,26.46
Male,67.55605126,158.5679874,171.59,71.36,24.23
Male,66.25363253,166.5035316,168.28,74.93,26.46
Male,69.18220268,171.9836776,175.72,77.39,25.06
Male,67.60910494,174.3641824,171.73,78.46,26.61
Male,69.29273802,187.7453519,176.00,84.49,27.27
Male,68.19068401,201.4879624,173.20,90.67,30.22
Male,71.6070858,204.9270121,181.88,92.22,27.88
Male,69.19685751,178.6855465,175.76,80.41,26.03
Male,67.26196098,164.0144277,170.85,73.81,25.29
Male,73.6851934,223.2700044,187.16,100.47,28.68
Male,69.53721501,202.9583063,176.62,91.33,29.28
Male,68.31155984,189.3917856,173.51,85.23,28.31
Male,67.73896347,178.1705556,172.06,80.18,27.08
Male,71.7057626,223.2993352,182.13,100.48,30.29
Male,63.6322646,167.0287067,161.63,75.16,28.77
Male,68.72119846,180.468682,174.55,81.21,26.65
Male,66.94934165,164.4391456,170.05,74.00,25.59
Male,62.70698974,149.9696184,159.28,67.49,26.60
Male,72.25840892,192.9102666,183.54,86.81,25.77
Male,70.90865306,201.8839987,180.11,90.85,28.01
Male,67.6098436,179.868026,171.73,80.94,27.45
Male,70.80155896,196.4677247,179.84,88.41,27.34
Male,69.30476905,187.5516495,176.03,84.40,27.24
Male,66.24289834,171.6931597,168.26,77.26,27.29
Male,67.49219298,191.6996048,171.43,86.26,29.35
Male,65.80624829,165.8506478,167.15,74.63,26.71
Male,71.44370566,185.6627413,181.47,83.55,25.37
Male,68.46440582,178.2818007,173.90,80.23,26.53
Male,63.9879246,150.9790513,162.53,67.94,25.72
Male,71.00189769,209.9293234,180.34,94.47,29.05
Male,68.13972419,174.1578043,173.07,78.37,26.16
Male,68.39540025,179.8789771,173.72,80.95,26.82
Male,68.09621975,167.7471412,172.96,75.49,25.23
Male,68.14059036,183.0446604,173.08,82.37,27.50
Male,68.86009031,169.5568208,174.90,76.30,24.94
Male,66.14885254,173.4316727,168.02,78.04,27.65
Male,66.20603205,180.8895546,168.16,81.40,28.78
Male,67.43212021,183.5089329,171.28,82.58,28.15
Male,69.47110603,205.9779102,176.46,92.69,29.77
Male,70.51585969,183.7598452,179.11,82.69,25.78
Male,71.33837604,201.9544955,181.20,90.88,27.68
Male,71.00194477,216.1200947,180.34,97.25,29.90
Male,66.20234771,159.3903237,168.15,71.73,25.37
Male,72.54330705,210.3364247,184.26,94.65,27.88
Male,67.47935176,178.6183502,171.40,80.38,27.36
Male,65.35041056,146.7397976,165.99,66.03,23.97
Male,70.84406242,195.937015,179.94,88.17,27.23
Male,69.93847526,170.1758538,177.64,76.58,24.27
Male,64.73981548,169.6540541,164.44,76.34,28.23
Male,69.30840288,198.3786936,176.04,89.27,28.81
Male,68.83846286,179.9077169,174.85,80.96,26.48
Male,61.93732327,147.2636865,157.32,66.27,26.78
Male,68.59333554,176.9842511,174.23,79.64,26.24
Male,65.21857558,185.4677884,165.66,83.46,30.41
Male,64.33364811,177.4938023,163.41,79.87,29.91
Male,68.7489067,169.8274774,174.62,76.42,25.06
Male,72.4896554,198.5816982,184.12,89.36,26.36
Male,67.23393092,203.3503393,170.77,91.51,31.38
Male,67.26360484,193.2176727,170.85,86.95,29.79
Male,65.11850428,178.1349452,165.40,80.16,29.30
Male,66.26282004,162.7795834,168.31,73.25,25.86
Male,67.70167966,159.2865106,171.96,71.68,24.24
Male,65.53069597,172.114312,166.45,77.45,27.96
Male,69.86896981,201.8370426,177.47,90.83,28.84
Male,68.48187536,170.3523296,173.94,76.66,25.34
Male,72.21396335,205.3897607,183.42,92.43,27.47
Male,68.17953269,169.7877681,173.18,76.40,25.48
Male,71.98120654,200.4373105,182.83,90.20,26.98
Male,66.06513673,178.588954,167.81,80.37,28.54
Male,66.65616417,168.0140297,169.31,75.61,26.38
Male,67.5994242,177.7664258,171.70,79.99,27.13
Male,68.24594409,193.277624,173.34,86.97,28.94
Male,64.80862144,162.3795406,164.61,73.07,26.97
Male,67.49221827,183.3838244,171.43,82.52,28.08
Male,68.18073071,181.0560953,173.18,81.48,27.17
Male,69.5533849,210.871799,176.67,94.89,30.40
Male,66.40224967,165.5684991,168.66,74.51,26.19
Male,66.59215711,196.1484498,169.14,88.27,30.85
Male,71.93588658,202.0464252,182.72,90.92,27.23
Male,68.28704173,170.4136025,173.45,76.69,25.49
Male,69.9554512,201.9480853,177.69,90.88,28.78
Male,71.85112915,193.3869846,182.50,87.02,26.13
Male,65.75549864,179.8556896,167.02,80.94,29.01
Male,67.03185208,156.489935,170.26,70.42,24.29
Male,76.70983486,235.0354188,194.84,105.77,27.86
Male,72.57112137,230.560535,184.33,103.75,30.54
Male,69.7288049,203.895655,177.11,91.75,29.25
Male,72.799224,218.2163966,184.91,98.20,28.72
Male,72.53935407,222.6671779,184.25,100.20,29.52
Male,72.29474338,208.4748659,183.63,93.81,27.82
Male,67.25332482,180.77978,170.82,81.35,27.88
Male,75.94446038,231.9247485,192.90,104.37,28.05
Male,66.31623192,170.5938581,168.44,76.77,27.06
Male,71.15605349,188.2714563,180.74,84.72,25.94
Male,71.19220229,196.0615292,180.83,88.23,26.98
Male,72.19751201,214.6035842,183.38,96.57,28.72
Male,75.14082143,224.1242713,190.86,100.86,27.69
Male,64.41152936,158.5793973,163.61,71.36,26.66
Male,64.73442436,166.5011147,164.43,74.93,27.71
Male,63.41458714,160.1406156,161.07,72.06,27.78
Male,67.84866523,176.1726343,172.34,79.28,26.69
Male,65.93178483,174.4852947,167.47,78.52,28.00
Male,70.96655044,193.9064988,180.26,87.26,26.86
Male,67.58074728,186.9916067,171.66,84.15,28.56
Male,68.58927044,173.5957961,174.22,78.12,25.74
Male,70.32475344,193.3465603,178.62,87.01,27.27
Male,72.39448041,208.436509,183.88,93.80,27.74
Male,70.82085671,206.0329778,179.88,92.71,28.65
Male,65.90330126,172.575231,167.39,77.66,27.71
Male,74.79537502,232.6354028,189.98,104.69,29.00
Male,67.68091903,177.2401455,171.91,79.76,26.99
Male,67.15596277,175.6466902,170.58,79.04,27.17
Male,71.77484122,212.6261023,182.31,95.68,28.79
Male,64.66523194,166.969204,164.25,75.14,27.85
Male,68.12276836,196.4144153,173.03,88.39,29.52
Male,66.78692724,165.4312422,169.64,74.44,25.87
Male,66.80584984,176.5658186,169.69,79.45,27.59
Male,67.8860138,174.6520347,172.43,78.59,26.43
Male,69.17357692,195.2375293,175.70,87.86,28.46
Male,70.22492333,205.6844384,178.37,92.56,29.09
Male,64.85579918,158.3414424,164.73,71.25,26.26
Male,67.82109327,169.0810083,172.27,76.09,25.64
Male,63.44024747,135.6558759,161.14,61.05,23.51
Male,71.84843485,218.1574695,182.50,98.17,29.48
Male,66.72807365,155.8995413,169.49,70.15,24.42
Male,71.96830565,201.5281774,182.80,90.69,27.14
Male,76.02134748,235.9260606,193.09,106.17,28.47
Male,71.47610128,195.3926176,181.55,87.93,26.68
Male,67.36980864,176.6361636,171.12,79.49,27.15
Male,70.55524376,198.4602486,179.21,89.31,27.81
Male,69.86710128,185.71691,177.46,83.57,26.54
Male,67.94757004,177.3477798,172.59,79.81,26.79
Male,74.10455886,215.7597035,188.23,97.09,27.40
Male,69.1678363,187.0224203,175.69,84.16,27.27
Male,66.55722857,171.5878843,169.06,77.21,27.02
Male,66.70160499,172.8398091,169.42,77.78,27.10
Male,67.24606495,168.2802869,170.81,75.73,25.96
Male,69.05138548,163.8204889,175.39,73.72,23.96
Male,70.67274718,190.0234342,179.51,85.51,26.54
Male,65.49899512,156.8699517,166.37,70.59,25.50
Male,65.18722085,172.6064826,165.58,77.67,28.33
Male,67.56814301,169.063983,171.62,76.08,25.83
Male,73.81538569,231.3745081,187.49,104.12,29.62
Male,71.60656421,207.2504768,181.88,93.26,28.19
Male,67.72474924,172.1527722,172.02,77.47,26.18
Male,68.23113195,199.827758,173.31,89.92,29.94
Male,65.92942171,168.0904122,167.46,75.64,26.97
Male,71.54849571,197.8196148,181.73,89.02,26.95
Male,69.16438112,196.892315,175.68,88.60,28.71
Male,68.59765932,180.2217801,174.24,81.10,26.71
Male,71.05751089,189.1340124,180.49,85.11,26.13
Male,63.64405958,158.4227173,161.66,71.29,27.28
Male,71.1824554,208.9226827,180.80,94.02,28.76
Male,66.12867317,187.1411195,167.97,84.21,29.85
Male,65.05737312,157.5824315,165.25,70.91,25.97
Male,68.09137436,181.644445,172.95,81.74,27.33
Male,70.9931439,204.7466782,180.32,92.14,28.34
Male,74.22117488,231.1301898,188.52,104.01,29.26
Male,69.32711818,186.2584296,176.09,83.82,27.03
Male,64.93134219,181.0938696,164.93,81.49,29.96
Male,68.34684231,198.9209797,173.60,89.51,29.70
Male,70.92912508,203.3704632,180.16,91.52,28.20
Male,61.4778092,161.0287521,156.15,72.46,29.72
Male,68.49081272,189.8066818,173.97,85.41,28.22
Male,72.04988987,200.2028285,183.01,90.09,26.90
Male,72.52166703,221.8626503,184.21,99.84,29.42
Male,71.23391139,214.0601482,180.93,96.33,29.42
Male,72.25911519,201.7014216,183.54,90.77,26.94
Male,67.5650399,187.1870936,171.62,84.23,28.60
Male,72.26760699,196.5274669,183.56,88.44,26.25
Male,62.600248,151.7207037,159.00,68.27,27.00
Male,66.23643729,167.2975303,168.24,75.28,26.60
Male,69.65043741,198.843696,176.91,89.48,28.59
